Sum of nDeaths,are,,,
area,S08,S12,S92,Grand Total
Aberdeen City,,376,,376
Aberdeenshire,,316,,316
Angus,,214,,214
Argyll and Bute,,133,,133
Ayrshire and Arran,1153,,,1153
Borders,210,,,210
City of Edinburgh,,944,,944
Clackmannanshire,,139,,139
Dumfries and Galloway,215,215,,430
Dundee City,,399,,399
East Ayrshire,,364,,364
East Dunbartonshire,,314,,314
East Lothian,,181,,181
East Renfrewshire,,251,,251
Falkirk,,404,,404
Fife,651,651,,1302
Forth Valley,741,,,741
Glasgow City,,1854,,1854
Grampian,752,,,752
Greater Glasgow and Clyde,3570,,,3570
Highland,318,185,,503
Inverclyde,,242,,242
Lanarkshire,1984,,,1984
Lothian,1751,,,1751
Midlothian,,240,,240
Moray,,60,,60
Na h-Eileanan Siar,,20,,20
North Ayrshire,,432,,432
North Lanarkshire,,1020,,1020
Orkney,9,,,9
Orkney Islands,,9,,9
Perth and Kinross,,303,,303
Renfrewshire,,612,,612
Scotland,,,12303,12303
Scottish Borders,,210,,210
Shetland,13,,,13
Shetland Islands,,13,,13
South Ayrshire,,357,,357
South Lanarkshire,,964,,964
Stirling,,198,,198
Tayside,916,,,916
West Dunbartonshire,,297,,297
West Lothian,,386,,386
Western Isles,20,,,20
Grand Total,12303,12303,12303,36909
